Questions, OptionA, OptionB, OptionC, OptionD, Answer
Which country won the FIFA World Cup in 2018?,Germany,Brazil,France,Croatia,C
How many players are on a basketball team on the court?,5,6,7,4,A
What sport is known as the "king of sports"?,Basketball,Football,Baseball,Tennis,B
In tennis what is the term for 40-40?,Deuce,Advantage,Match point,Love,A
Which athlete has won the most Olympic medals?,Usain Bolt,Michael Phelps,Carl Lewis,Simone Biles,B
What is the national sport of Japan?,Sumo,Wrestling,Karate,Baseball,A
Which country hosted the 2016 Summer Olympics?,China,Brazil,UK,Russia,B
How long is a marathon?,26.2 miles,13.1 miles,20 miles,30 miles,A
Which NFL team has won the most Super Bowls?,Cowboys,Steelers,Patriots,49ers,C
What is the maximum score in a single frame of bowling?,30,10,20,40,A
Which sport uses a pommel horse?,Gymnastics,Wrestling,Equestrian,Fencing,A
What is the name of the trophy awarded in the NHL?,Stanley Cup,World Cup,Super Bowl,Lombardi Trophy,A
Which country is famous for cricket?,USA,India,Canada,Spain,B
What is the term for a hole-in-one in golf?,Ace,Birdie,Eagle,Par,A
Which sport features the Tour de France?,Running,Cycling,Skiing,Swimming,B
What is the regulation length of a soccer match?,90 minutes,60 minutes,120 minutes,80 minutes,A
Which female tennis player has won the most Grand Slams?,Serena Williams,Steffi Graf,Martina Navratilova,Venus Williams,A
What is the name of the basketball league in the USA?,FIFA,NFL,NBA,MLB,C
Which country invented table tennis?,USA,China,England,Germany,C
What is the term for three strikes in a row in bowling?,Triple,Turkey,Hat trick,Strikeout,B
Which sport uses the term "scrum"?,Football,Rugby,Hockey,Basketball,B
How many innings are in a standard baseball game?,7,9,10,8,B
Which athlete is known as "The Greatest"?,Michael Jordan,Muhammad Ali,Tom Brady,Pelé,B
What is the name of the soccer tournament held every 4 years?,Champions League,World Cup,Euro Cup,Copa America,B
Which country has won the most Olympic gold medals?,Russia,USA,China,Germany,B
What is the diameter of a basketball hoop?,18 inches,20 inches,22 inches,16 inches,A
Which sport uses a shuttlecock?,Badminton,Tennis,Volleyball,Table Tennis,A
What is the name of the baseball championship series?,World Series,Super Bowl,Stanley Cup,NBA Finals,A
Which sport did Babe Ruth play?,Basketball,Football,Baseball,Hockey,C
What is the term for zero in tennis?,Zero,Nil,Love,None,C
Which country won the first FIFA World Cup?,Brazil,Uruguay,Italy,Germany,B
How many players are on a volleyball team?,5,6,7,8,B
Which sport uses the term "albatross"?,Golf,Cricket,Tennis,Swimming,A
What color flag indicates the end of a Formula 1 race?,Red,Green,Checkered,Yellow,C
Which sport is played at Wimbledon?,Tennis,Golf,Cricket,Rugby,A
What is the name of the trophy awarded in college football?,Heisman,Lombardi,Stanley Cup,Golden Boot,A
Which country is known for sumo wrestling?,China,Korea,Japan,Thailand,C
What is the maximum score in gymnastics?,10,100,20,50,A
Which sport uses the term "hat trick"?,Basketball,Football,Hockey,Golf,C
Which sport has positions like striker and goalkeeper?,Basketball,Football,Baseball,Tennis,B
What is the name of the tennis tournament held in Australia?,US Open,French Open,Wimbledon,Australian Open,D
Which sport uses the term "bogey"?,Golf,Baseball,Basketball,Tennis,A
Which country is famous for ice hockey?,USA,Canada,Russia,Sweden,B
What is the name of the international cricket championship?,World Cup,Champions League,Ashes,Super Series,A
Which sport uses the term "slam dunk"?,Football,Basketball,Tennis,Baseball,B
What is the name of the race held in Indianapolis?,Daytona 500,Indy 500,Le Mans,Grand Prix,B
Which sport uses the term "pin",Wrestling,Gymnastics,Boxing,Karate,A
What is the name of the famous golf tournament in Georgia?,US Open,The Masters,British Open,PGA Championship,B
Which sport uses the term "power play"?,Football,Hockey,Basketball,Baseball,B
What is the name of the international rugby competition?,Six Nations,World Cup,Champions League,Super Bowl,A
What is Alishya's favorite sport?,basketball,soccer,volleyball,baseball,C
